Segment,Price,PromoSpend,Usage,Tenure,SupportTickets,CompetitorPrice,Region
A,21.1194,41.9922,0.4335,2,0,12.3212,West
A,11.2721,20.0681,0.1987,48,2,17.8548,East
B,21.9503,58.3821,0.2212,12,0,18.7856,East
C,11.0019,10.7985,0.5046,20,1,14.7918,South
A,19.6305,3.0087,0.6576,38,1,17.2043,East
A,19.0241,38.5562,0.3188,33,0,13.4244,East
A,21.4603,76.7253,0.2465,13,2,15.9024,North
B,12.1323,60.9597,0.2835,12,1,15.1892,West
A,14.5304,51.0983,0.3967,22,3,14.3662,East
B,10.6471,15.8592,0.5024,28,1,14.8645,South
C,15.7177,15.9011,0.8502,41,2,13.1765,West
C,11.1272,22.153,0.4558,13,0,13.8835,North
B,18.8241,10.7824,0.6912,14,0,11.3069,West
A,10.8834,75.9959,0.2835,23,2,14.8592,East
C,9.5887,16.7811,0.7159,43,0,11.0269,North
B,10.7623,48.5521,0.3889,26,4,15.3097,North
C,11.29,16.9716,0.6478,27,0,13.9987,South
A,15.2059,110.7082,0.3538,14,1,15.1261,South
A,18.6423,120.0,0.2445,44,3,15.9986,West
A,16.4325,23.8319,0.2389,35,1,15.9982,East
B,12.9975,29.8565,0.3898,41,1,11.9081,North
C,11.535,68.5056,0.752,11,0,18.4538,North
C,16.786,109.4748,0.2451,40,0,15.3631,North
B,12.3226,71.0554,0.3348,2,0,14.9231,East
B,9.7627,19.8855,0.3487,20,0,17.1714,South
B,17.7494,80.8727,0.7468,2,1,16.506,East
C,14.9443,109.4052,0.5541,41,0,16.3579,South
B,18.8217,86.9558,0.3021,48,1,10.7349,North
B,14.4259,120.0,0.2096,39,0,13.2152,South
B,18.7732,60.4403,0.5323,32,0,16.4705,West
C,8.9253,15.9183,0.8666,2,1,12.5989,West
A,21.7662,21.681,0.5706,7,0,15.864,East
A,17.3618,16.4991,0.3547,26,0,14.7694,East
C,8.5697,47.7287,0.271,39,0,14.2138,North
A,17.6551,31.944,0.3738,2,1,13.8338,North
B,21.0352,69.7974,0.3255,35,0,15.8496,West
B,10.3552,22.5129,0.509,10,0,17.504,South
B,16.1485,23.2324,0.6847,29,2,12.7887,West
A,21.5032,78.2579,0.333,21,1,14.4834,North
A,19.0641,16.2194,0.7973,31,2,14.0007,South
A,14.176,69.621,0.3453,8,1,14.264,West
A,19.5552,5.1842,0.1857,28,1,12.4912,South
C,15.6505,26.8062,0.3894,38,0,11.3839,North
C,10.1264,51.3494,0.3208,25,1,15.4506,East
B,15.4612,54.8146,0.3774,7,0,15.3391,West
B,16.535,39.7599,0.6699,15,1,14.5377,South
C,13.9214,39.7084,0.4853,48,1,13.0657,West
B,15.8543,7.7667,0.7993,30,2,17.5845,East
C,8.2079,23.9064,0.4199,45,0,10.953,West
B,16.0795,81.5935,0.2865,16,1,16.3885,West
A,20.4391,71.5559,0.2568,19,2,14.5877,North
B,15.2283,55.2906,0.4191,35,2,14.7857,North
B,11.2999,14.6454,0.3178,31,1,18.8822,West
C,11.9045,40.0287,0.6784,19,0,15.8909,East
A,20.6706,36.7603,0.4513,7,0,16.5284,West
C,11.0065,9.1222,0.8828,22,0,16.7416,West
B,8.1872,24.2866,0.4464,27,2,16.9614,East
A,21.8323,55.3764,0.5007,37,2,17.0683,East
A,11.3957,41.517,0.2474,21,1,13.2645,South
C,11.6368,15.9696,0.5156,47,1,13.105,West
C,21.9339,51.8776,0.6245,37,1,11.359,North
B,17.3851,24.8832,0.8703,46,0,11.8752,East
B,15.5486,20.0257,0.359,36,0,12.9356,West
A,15.9627,61.8695,0.5303,13,2,14.4184,North
A,11.5378,36.7169,0.3118,29,3,17.6372,South
C,14.0441,44.7207,0.6338,12,0,12.8383,North
C,18.8559,46.5265,0.8316,48,0,12.2994,South
C,13.2875,60.2481,0.7272,18,0,15.1452,East
C,9.0732,62.1198,0.5191,15,1,17.038,North
A,15.9511,28.7468,0.2998,2,1,12.7935,East
A,18.1055,55.8639,0.6692,20,4,17.3357,South
C,10.2239,22.9363,0.557,15,0,16.3257,East
C,8.2709,15.749,0.7209,42,1,15.1503,West
C,11.4703,98.964,0.6317,34,0,16.5802,East
C,20.1408,69.7846,0.7001,36,1,13.8778,North
B,11.7562,56.7691,0.735,2,1,13.2902,South
C,17.9623,28.6608,0.7263,46,1,14.8312,North
B,18.8182,51.5968,0.4718,3,2,16.9142,North
A,15.1788,48.8899,0.2221,23,1,14.4936,East
B,13.7782,22.3418,0.5093,18,0,12.8743,East
C,8.8679,21.9673,0.5615,47,0,17.2901,East
A,21.8351,15.07,0.444,3,1,13.2784,North
A,8.8404,18.3166,0.2441,14,0,14.445,South
B,14.8703,12.0533,0.8204,16,0,16.9552,South
B,18.6521,51.6938,0.1608,47,0,16.0031,West
A,16.6544,48.2334,0.1752,44,0,14.1935,South
C,15.6585,23.8685,0.5117,42,1,14.1748,North
B,17.9097,120.0,0.1826,29,0,15.8015,West
C,8.3596,27.0183,0.4418,30,0,15.8781,West
A,17.5043,19.8933,0.677,17,1,13.699,West
A,21.1396,26.0887,0.3501,4,1,14.9954,East
A,19.3967,35.7315,0.6101,39,3,14.001,West
B,15.873,76.2909,0.29,25,0,14.7703,North
B,17.9642,18.21,0.6486,36,1,18.1725,West
B,15.4054,45.8391,0.6539,23,1,13.4246,East
C,15.6262,49.1473,0.7625,2,2,18.587,North
C,13.497,35.9855,0.6367,40,0,14.4816,West
B,8.9596,120.0,0.1498,11,0,14.8762,West
C,11.4429,79.1326,0.7984,37,0,14.3159,East
A,19.3374,11.5878,0.3009,47,2,16.2906,East
C,8.013,36.4347,0.7942,29,2,15.1859,South
A,20.1081,48.4701,0.321,18,0,14.6415,South
C,8.253,18.9889,0.2185,41,0,14.9907,South
A,13.1798,10.0563,0.4579,13,2,16.037,East
A,21.0702,21.6252,0.478,28,2,17.1992,South
A,11.7908,66.025,0.1186,10,0,15.6286,South
A,11.6542,20.1223,0.1095,24,0,16.4647,East
B,10.6357,51.7252,0.7493,5,3,17.7804,East
B,12.9867,21.8633,0.4347,19,0,13.573,East
A,17.9014,55.7348,0.1034,13,2,12.3538,West
B,16.9996,60.3536,0.4164,20,0,15.3131,North
B,15.6093,3.2643,0.3283,41,3,15.245,North
A,16.039,30.383,0.3558,39,1,14.7535,West
B,8.704,42.9546,0.1365,24,0,15.4047,East
C,13.3189,38.0542,0.7899,9,0,12.8502,South
A,21.1275,63.3144,0.4277,37,1,15.955,South
A,16.9925,7.6099,0.1456,24,1,12.5522,West
A,13.2858,38.0393,0.5031,14,2,15.467,South
C,8.6524,46.394,0.6762,19,0,18.1556,South
C,11.423,56.8662,0.5384,20,1,16.2761,West
C,16.7676,38.5167,0.6153,47,1,14.7274,North
C,11.4825,120.0,0.79,12,0,11.883,North
B,13.966,13.1927,0.3335,12,2,14.735,North
A,16.6884,22.3747,0.7761,24,1,14.5441,South
A,10.9529,38.845,0.0412,4,4,14.7208,West
C,13.9288,47.7954,0.5057,46,1,13.588,North
A,19.759,11.809,0.1226,4,2,12.9819,South
A,17.8239,30.8899,0.3527,13,2,17.0832,North
A,16.8941,40.5812,0.4826,7,1,16.8143,South
C,9.5966,34.4191,0.4015,25,0,13.2859,North
A,19.7343,56.4003,0.8212,12,2,16.6363,South
B,14.1714,30.8321,0.2232,24,1,12.5647,West
A,16.4121,61.2051,0.7632,13,0,14.8171,South
C,12.5963,30.3041,0.7803,24,0,13.4144,West
B,11.274,21.0442,0.1695,19,0,15.2188,East
C,14.4832,36.3585,0.7418,38,0,14.5479,North
B,19.3582,81.9888,0.6156,16,1,16.5621,East
A,18.6597,66.8122,0.4114,6,0,15.2743,South
B,20.829,90.556,0.5218,33,0,14.4765,South
C,19.4274,14.7961,0.6982,42,0,16.032,West
A,13.5295,35.4421,0.3487,32,1,15.9077,South
C,13.8726,52.0817,0.7106,18,2,16.5825,North
C,8.5389,30.6801,0.63,34,1,16.9908,East
B,17.3032,56.4983,0.3372,14,1,10.9417,West
A,11.0673,33.3993,0.4668,12,1,12.139,East
B,20.8069,24.4706,0.6697,38,1,13.8161,South
C,17.3812,104.3639,0.7753,39,0,15.1313,East
A,18.5112,15.8191,0.4701,19,2,14.8856,East
B,17.9084,66.0941,0.2166,16,0,12.8567,North
B,15.3099,66.4995,0.4585,4,0,16.1498,North
A,13.9415,22.071,0.0846,40,1,12.0246,East
C,17.3915,14.1536,0.566,48,0,16.099,West
B,15.1491,98.5296,0.399,21,0,13.6074,East
C,11.9195,56.997,0.5536,16,0,12.9625,East
C,16.3199,37.0138,0.4962,1,0,14.1314,North
C,8.4688,40.6237,0.5317,23,0,15.6375,North
C,9.6435,69.4394,0.8125,1,1,15.5803,West
A,21.8229,29.8906,0.5015,9,0,16.419,North
A,18.3003,27.0581,0.2281,22,1,16.6201,South
A,18.9008,11.7298,0.1973,26,0,14.597,North
B,9.0197,1.9787,0.444,30,1,16.3686,South
C,9.3686,71.3033,0.8102,21,0,13.9066,West
C,8.0087,19.5745,0.5659,29,1,12.8257,East
C,16.8244,19.607,0.6683,41,0,13.5362,North
A,20.3851,37.7603,0.6006,34,1,13.4817,South
A,16.3771,11.2579,0.3931,16,3,14.1638,East
A,21.9277,40.6425,0.3768,5,0,19.3019,East
A,19.2334,26.6203,0.4454,27,1,15.7117,East
B,14.7512,15.5004,0.7525,42,2,14.2343,South
C,13.5402,56.8611,0.8441,13,2,16.0909,East
B,11.379,26.9171,0.3283,29,2,12.5781,West
C,9.5795,10.0109,0.8639,20,0,13.897,West
C,11.1803,54.7756,0.7837,45,1,16.0628,West
B,18.183,104.0783,0.5322,16,0,17.5854,South
B,13.1757,32.3514,0.7856,12,0,15.5193,South
C,10.9839,6.759,0.5789,34,1,12.3626,North
B,13.4232,22.4607,0.1523,15,1,14.5546,West
B,12.1966,24.9746,0.7333,8,0,16.506,East
C,18.3593,11.9825,0.49,18,0,15.279,North
B,17.6182,41.4676,0.6333,32,1,15.9798,East
B,14.7716,15.7117,0.505,23,1,14.1404,West
C,9.8976,26.9735,0.8633,37,0,15.3936,North
A,12.0862,34.7563,0.2775,24,2,16.3855,South
A,20.4598,75.2555,0.3174,10,0,14.0658,East
B,17.4728,65.4795,0.6117,26,1,16.1414,South
B,15.723,8.369,0.3884,38,2,19.1213,East
A,15.7536,38.14,0.6235,14,1,13.0005,South
B,12.0559,11.1775,0.2999,27,1,12.5722,West
B,12.7737,16.1317,0.256,28,0,15.7064,South
B,14.8606,16.4439,0.5769,40,1,15.8416,South
C,10.1843,35.1259,0.4568,35,2,11.6192,West
B,13.4064,20.6951,0.1825,16,0,16.7367,East
B,9.7221,25.5354,0.4957,19,2,11.8182,South
B,20.4991,19.2112,0.7923,31,0,17.723,North
C,15.7598,56.1885,0.6173,46,0,16.4563,West
A,19.307,1.1881,0.5567,18,0,7.7799,South
B,15.4188,18.5554,0.6054,16,1,16.1884,West
A,21.7719,10.2398,0.1354,6,0,14.9703,South
A,11.4867,34.1049,0.2653,23,1,16.6106,East
B,8.0648,16.3627,0.1881,11,2,17.2319,West
C,18.5278,29.4314,0.816,4,0,16.2473,North
C,12.1295,34.8716,0.7173,33,0,12.101,North
B,14.2015,16.2796,0.8161,43,2,15.6398,West
A,13.9265,11.4056,0.2325,5,1,17.7362,South
B,11.0064,25.1393,0.1396,44,1,16.4301,South
A,17.4358,63.0161,0.1685,4,3,16.8633,South
B,18.0226,7.4676,0.7633,44,1,17.0566,South
B,11.2334,45.537,0.4299,1,1,14.8127,South
C,18.0105,45.7914,0.8064,47,0,16.682,East
B,8.7154,12.9795,0.5831,14,2,15.4685,South
B,16.7673,7.4369,0.5408,22,0,16.5243,East
B,13.1462,33.9459,0.2213,13,0,16.2333,East
C,17.7958,93.8819,0.6654,36,1,15.66,West
A,11.4769,48.453,0.0423,3,0,17.8332,East
A,17.4761,38.1452,0.4247,18,0,14.4828,South
A,21.6628,15.8979,0.2756,8,0,18.3797,East
A,19.0621,18.087,0.6672,13,0,13.5441,East
C,15.0569,33.7657,0.6868,1,1,18.454,North
C,11.5168,45.1193,0.5262,35,0,17.2799,North
A,10.8886,46.155,0.3423,3,0,14.0046,East
C,13.4586,33.4685,0.5173,44,2,15.0349,West
A,12.2711,30.8704,0.1155,40,2,13.5126,South
C,12.4885,27.8528,0.5835,35,0,13.1789,East
C,13.0246,13.3397,0.5115,34,0,16.3782,South
C,16.5329,62.169,0.9337,31,2,14.7967,West
B,9.627,17.628,0.3266,22,1,12.7132,East
A,15.5972,30.4282,0.2205,5,1,14.9668,West
C,11.4122,22.2385,0.4726,25,1,15.7804,East
A,11.7453,23.2521,0.0746,1,2,17.6259,South
A,18.5276,31.8683,0.0918,22,2,15.5499,North
B,17.4196,37.3468,0.3926,9,0,14.2617,North
C,10.2321,21.0402,0.7665,47,2,15.7373,South
B,17.9948,41.402,0.6083,36,2,14.364,North
A,20.2762,16.1207,0.7224,22,3,15.3403,West
C,8.2466,93.0096,0.5001,43,0,13.6265,West
A,15.9466,41.2899,0.0595,11,1,16.9324,East
B,20.4177,49.5744,0.5977,11,0,14.3877,West
A,12.2497,51.4121,0.4926,1,1,12.409,South
A,17.9666,20.6918,0.1844,10,1,14.1192,West
A,20.9396,46.6918,0.3023,31,2,13.543,East
B,12.8119,46.2491,0.5283,12,2,13.457,East
A,8.0828,8.0935,0.1941,7,4,14.3941,East
A,17.5854,39.2327,0.3684,34,0,12.1633,South
A,20.9783,20.1847,0.4934,7,1,14.4799,North
B,8.2725,13.0232,0.131,42,2,13.3186,East
B,19.6617,24.8495,0.4678,13,0,13.3945,North
B,16.1436,32.7533,0.8434,35,1,14.9309,East
B,18.9059,66.7344,0.6207,7,1,15.5162,East
B,12.2222,29.7844,0.4094,17,0,17.2696,East
B,19.7415,31.7591,0.431,45,2,14.7583,West
C,19.2293,46.9568,0.7571,32,0,14.3072,North
C,8.7795,103.9447,0.7095,39,1,14.7561,West
B,15.5247,34.6969,0.4979,32,1,16.4338,East
C,16.7906,33.7526,0.5524,35,1,15.0377,West
B,14.3,11.5907,0.4581,27,1,13.1089,East
C,9.6285,21.3935,0.5253,17,0,16.4944,North
A,18.9705,43.4879,0.1688,37,3,16.2076,North
C,18.0062,44.9128,0.4764,48,0,14.6398,West
C,16.2866,57.5479,0.7814,5,0,16.9254,North
B,17.7222,8.1884,0.4012,28,0,15.3895,East
A,16.8477,52.195,0.3553,28,3,13.8727,North
B,14.8202,57.1301,0.5185,22,1,12.6384,North
B,14.4696,14.989,0.3519,16,1,14.4791,North
B,17.0091,64.3585,0.5476,31,2,13.2496,West
A,17.7025,10.0381,0.4013,41,2,16.4427,South
B,16.3928,5.1047,0.3813,43,0,13.8737,East
B,9.5075,61.6655,0.3813,16,0,13.0165,East
B,20.0094,44.928,0.5226,14,0,18.7944,South
C,11.27,23.0849,0.2226,36,0,14.5722,East
B,18.4222,31.1921,0.6554,25,1,17.1907,South
A,19.9354,42.8794,0.4305,9,0,16.168,South
B,16.6351,51.8954,0.5055,10,1,15.2374,North
C,10.2546,49.7047,0.4999,15,0,16.3753,West
C,13.1048,36.2881,0.761,20,0,15.2083,North
A,20.4635,35.8584,0.3854,31,1,14.9235,West
A,21.8044,40.2369,0.7867,12,2,15.7028,South
B,19.9891,20.6575,0.4269,22,0,15.9351,South
A,18.8539,28.1824,0.5402,14,0,14.6552,East
A,13.0167,3.7905,0.3795,4,1,15.0445,West
C,8.4694,72.8327,0.2717,30,0,18.4651,North
C,18.3739,20.3429,0.8441,34,0,17.3339,North
A,17.1037,97.2907,0.4014,11,1,15.3604,South
A,20.0146,42.4921,0.0771,33,1,13.5098,North
C,18.6261,22.0321,0.6916,28,1,16.1757,North
C,10.7247,33.0065,0.5458,48,0,16.1057,East
C,12.8716,46.9887,0.2128,42,0,16.9564,East
C,20.0232,51.0024,0.9321,33,0,15.4692,West
C,15.8739,76.1215,0.5257,28,0,17.7862,West
B,21.0465,21.6651,0.7566,4,2,13.6454,North
C,11.5181,75.8644,0.2159,11,0,17.006,North
C,13.6664,29.2527,0.3544,15,0,17.2372,North
A,12.6876,33.2671,0.2066,8,0,18.5586,South
A,18.0363,19.2102,0.277,25,1,14.5233,North
B,11.8297,18.4413,0.3485,17,2,20.0488,North
C,14.2046,117.1315,0.4954,25,0,13.4414,North
B,10.0521,14.3134,0.1485,46,0,14.1858,South
C,13.0931,41.527,0.7071,19,0,16.8741,West
C,15.8667,28.6507,0.6491,12,0,19.1417,North
B,15.6655,9.8692,0.6284,12,0,13.4118,North
B,12.6901,36.1947,0.379,8,0,16.1784,South
B,9.6877,30.2026,0.5422,15,2,12.1475,South
C,8.6814,13.6099,0.4637,8,1,14.2475,North
A,18.6686,54.5338,0.7168,38,5,12.5099,North
A,8.4306,10.1416,0.3573,20,2,17.555,East
B,13.5004,39.146,0.9262,30,2,13.2702,West
C,14.1404,31.3983,0.3707,24,0,17.4251,East
B,14.3477,27.9721,0.2967,1,0,11.5359,North
C,8.5648,32.6894,0.5547,39,0,19.2187,East
B,18.5432,21.5904,0.6299,40,0,16.6199,South
C,9.3673,47.319,0.8692,41,2,15.2282,East
B,10.7867,25.9703,0.2309,3,1,17.5231,East
B,19.4708,39.695,0.5127,4,0,14.9193,West
B,10.4469,35.8407,0.9749,4,1,14.018,South
C,8.3677,18.5241,0.812,42,1,14.0464,North
B,12.9067,11.7269,0.3068,44,0,17.1589,South
A,19.5495,50.8455,0.5937,27,3,17.3244,East
B,8.0389,56.9131,0.7526,36,3,16.4889,South
C,21.8607,14.1108,0.4608,41,0,16.969,North
B,16.9392,60.1509,0.247,15,0,17.9271,North
C,13.8693,41.4137,0.5368,26,1,11.4074,North
C,10.9838,71.5237,0.4786,5,0,18.0825,East
C,20.7473,50.608,0.6208,39,1,16.8357,West
A,17.1067,35.3931,0.3607,23,2,18.4264,South
C,9.742,81.9467,0.8646,18,0,13.852,West
C,13.3674,22.5258,0.3537,25,1,13.2867,North
B,16.2191,33.3352,0.3329,1,0,18.6632,East
B,16.8283,16.9124,0.5968,35,0,14.5273,East
A,19.2287,14.6543,0.3613,30,1,15.0978,West
A,20.9231,26.7111,0.5442,28,0,14.9406,South
B,19.0723,24.5332,0.4847,9,0,16.0242,North
C,15.7348,20.4375,0.9582,32,1,15.5739,West
A,17.764,46.8584,0.3781,4,0,13.7285,North
B,14.1162,57.7937,0.3902,11,1,13.2951,West
A,17.4193,24.6224,0.2612,2,0,17.6974,East
C,12.7082,55.6404,0.7902,34,0,12.8342,East
C,10.6249,92.1771,0.5493,33,0,16.7483,East
B,17.9469,7.2934,0.4996,8,0,16.6633,North
A,21.234,24.0402,0.531,2,2,15.6497,South
A,18.1005,78.5683,0.9035,5,2,16.0572,South
A,16.2565,22.7198,0.0646,24,0,14.5124,West
A,14.3787,16.2048,0.3417,32,2,15.428,West
C,12.2062,38.9012,0.7138,20,1,14.4631,West
A,20.9479,39.7711,0.4353,40,2,14.2819,West
B,15.1041,63.1515,0.7933,14,0,15.1228,South
A,8.9621,10.4187,0.4437,14,1,12.4768,South
A,10.591,33.2702,0.1375,3,0,15.6594,South
B,14.9444,62.6951,0.0417,33,1,15.1886,North
A,16.9156,36.6275,0.1216,40,2,13.8227,East
A,18.1935,65.3673,0.2475,35,1,13.2446,South
C,8.1634,48.0673,0.6261,48,0,13.4031,East
B,9.7274,19.2338,0.2921,34,2,12.405,East
B,17.6571,98.9514,0.1077,47,0,15.7388,North
C,9.1376,20.1562,0.2531,39,1,19.2424,East
A,21.9398,49.3406,0.3043,38,1,19.0666,South
C,18.4596,43.6899,0.5693,12,0,18.0574,North
B,19.327,38.2354,0.6485,4,0,14.1018,North
A,19.2527,54.8364,0.24,6,0,13.4946,East
B,15.6697,46.0896,0.0482,24,1,12.5884,North
C,12.8245,51.97,0.3442,37,0,11.6464,North
C,11.1349,38.7362,0.6157,21,1,11.9013,East
B,14.1884,7.348,0.2981,45,1,15.8591,South
B,8.2704,49.9012,0.2858,41,0,13.3636,East
C,10.302,55.4062,0.6125,5,2,15.1357,East
C,9.5608,47.9379,0.3464,46,1,15.074,West
B,16.1445,26.9926,0.4937,27,1,15.6014,East
C,17.8171,72.6649,0.4845,19,0,15.695,West
C,16.6905,20.856,0.5256,48,0,14.5972,South
A,8.7602,91.5287,0.2069,39,1,16.5096,South
B,20.422,15.7131,0.276,22,0,16.1425,West
B,13.3343,73.7863,0.3487,3,0,15.0055,East
C,12.3755,120.0,0.9723,38,0,17.6904,South
B,14.7575,48.6464,0.3167,34,0,20.1983,South
A,17.7345,55.2415,0.3586,30,0,15.9563,South
C,10.3927,44.247,0.695,46,2,17.3132,West
B,21.6604,40.6183,0.7468,31,0,13.4328,South
B,8.3914,91.9009,0.1746,5,0,14.1088,West
A,20.2625,89.4116,0.1604,15,0,15.3471,North
B,15.3115,39.1914,0.6725,34,1,15.8185,East
C,16.076,61.3063,0.5127,41,1,16.1703,North
B,20.8131,7.4545,0.7839,46,0,19.7956,East
A,20.3416,25.2598,0.2854,47,0,12.7237,West
C,16.545,61.1019,0.8301,35,1,14.4322,North
B,14.0043,6.1493,0.7161,32,1,13.417,South
C,17.1708,52.3081,0.8065,23,0,15.7945,East
A,17.1176,25.9496,0.6007,21,2,10.9665,East
A,20.0531,11.786,0.4025,25,2,16.881,East
B,14.2262,36.1833,0.685,3,0,18.0903,South
B,19.0236,16.6522,0.2387,47,0,14.9203,North
A,19.0577,13.8549,0.5786,28,0,15.6904,South
B,11.19,19.2043,0.6855,23,2,12.7172,East
C,19.0282,90.8727,0.7536,3,0,10.9166,North
A,18.0054,31.6245,0.5633,31,2,15.9215,South
C,10.2188,32.1837,0.8463,4,0,11.7449,West
B,15.5839,7.1419,0.4505,36,0,15.0207,East
A,20.1381,27.6005,0.6716,28,1,14.5128,South
A,19.6083,37.3686,0.3238,45,1,14.0199,South
C,12.9438,23.3217,0.2412,25,0,16.9064,West
A,21.1478,47.5752,0.6963,16,1,12.3233,East
A,16.1343,52.5716,0.2454,15,3,16.3535,West
A,12.1108,120.0,0.0745,40,0,13.6881,South
A,20.3783,35.4111,0.6417,11,0,14.7149,South
A,13.5411,17.1148,0.2711,4,2,17.0642,East
B,10.93,28.6321,0.3107,33,1,17.1222,South
C,9.3911,37.1245,0.1603,38,0,16.0314,West
A,18.0975,55.5152,0.4251,45,2,14.8032,South
B,8.193,33.7607,0.3121,39,1,16.5782,South
A,17.5571,20.3917,0.1186,7,1,17.0939,North
B,16.5802,47.0379,0.3825,6,0,13.4751,West
A,16.2862,37.9456,0.3779,20,2,17.9201,West
A,21.5326,8.6068,0.203,40,3,13.7313,West
C,21.341,44.7264,0.8868,47,0,16.8793,West
C,12.8943,1.0443,0.6976,46,0,17.5725,West
C,8.8507,24.2202,0.736,35,1,15.0011,West
B,19.5749,17.929,0.2018,34,0,16.9138,West
C,9.9383,37.8322,0.083,40,0,13.9594,West
A,20.4597,43.7769,0.1366,4,0,14.2243,West
C,10.1779,26.7669,0.6691,2,1,14.2469,West
C,10.1758,30.4058,0.6062,32,0,15.7386,North
C,13.2433,11.9185,0.2509,48,0,14.3908,East
C,14.6133,9.0703,0.0755,47,3,17.6407,North
B,13.6079,13.2667,0.5897,45,0,12.7779,South
A,19.0641,76.5112,0.215,31,0,15.0359,West
A,20.3184,34.2354,0.496,32,0,13.3164,West
C,10.169,29.1321,0.4242,27,0,17.5534,North
A,14.4916,31.0159,0.1445,41,0,15.5594,South
B,16.2572,25.0343,0.5329,12,1,13.2811,North
A,21.5564,14.3868,0.3733,4,1,16.4016,South
B,20.4824,52.5773,0.7981,9,0,15.8902,South
C,10.018,7.3189,0.6948,47,2,12.3049,East
C,8.4314,4.3677,0.47,36,1,16.1363,North
A,16.2743,29.5971,0.7973,14,3,14.8169,West
A,17.2945,28.186,0.2009,18,1,17.1256,West
C,15.1639,35.2377,0.6786,43,0,14.9031,West
B,11.1623,42.6337,0.437,39,0,15.3361,South
C,11.6956,19.6148,0.5164,3,0,16.5075,North
B,10.8397,10.3147,0.056,15,0,13.2109,North
A,19.4327,11.0222,0.3855,1,2,14.7942,East
B,15.4634,64.7362,0.4682,26,0,15.752,West
B,12.4132,9.6559,0.3714,5,0,15.3575,East
A,21.3986,42.0841,0.7764,30,3,13.4488,South
B,17.7995,12.5219,0.1409,48,3,17.6882,West
B,9.8212,30.7127,0.167,9,0,13.0698,West
C,12.2067,12.6611,0.19,28,0,15.895,North
A,9.118,26.0197,0.1646,2,2,17.9089,South
A,20.0995,22.0461,0.5718,8,0,16.2687,East
C,11.0013,39.1555,0.3689,1,1,15.9105,North
A,17.8532,32.2814,0.7781,15,1,13.4395,South
C,13.5441,120.0,0.7923,39,1,15.6893,North
C,10.1669,10.1014,0.2169,30,0,17.5327,West
B,9.4647,25.8387,0.2887,20,2,15.9371,East
C,9.1987,23.5553,0.7948,43,3,15.8846,South
C,11.9019,32.1516,0.5962,18,0,14.3007,North
C,12.9625,107.9729,0.2802,26,0,16.7103,West
B,12.9331,10.8625,0.2074,24,1,17.0763,West
B,20.8608,29.495,0.9247,21,1,19.367,West
A,11.4499,5.7613,0.2213,14,1,15.6324,South
C,8.1355,120.0,0.5291,15,0,13.5694,North
C,10.5283,55.1662,0.5033,46,0,16.2076,West
C,14.2944,100.5761,0.3389,43,1,12.0182,North
C,13.9356,6.5849,0.5019,44,1,14.537,North
B,12.5867,60.16,0.1308,16,0,13.3599,East
C,15.0647,21.9882,0.7336,41,1,19.1559,North
C,11.5155,14.2586,0.61,24,1,13.7535,West
A,15.398,27.5628,0.3121,5,4,16.5393,West
B,17.2379,91.422,0.5737,16,0,14.7279,North
C,9.5852,35.7814,0.4018,40,1,14.6896,East
A,21.1849,16.26,0.5573,13,0,15.4588,West
A,16.1117,3.0516,0.2649,32,3,18.4097,North
C,8.4711,26.2374,0.8443,45,0,18.781,West
C,18.672,53.8751,0.4279,33,1,13.7703,North
A,17.7469,35.694,0.4504,8,2,16.2191,North
A,14.3444,66.721,0.1568,20,2,10.0093,South
A,15.1956,45.4417,0.2866,20,2,15.1256,South
B,18.9693,28.5009,0.7078,21,3,12.6588,North
A,18.9616,14.4387,0.8354,21,1,11.9902,West
B,19.8028,63.2035,0.2665,26,0,16.7061,West
B,11.0041,87.7891,0.4794,35,1,16.0937,East
A,20.8189,12.8854,0.1294,25,1,11.3796,South
B,16.1563,41.0951,0.4899,47,0,12.2348,East
A,14.391,16.7378,0.4044,12,1,17.1488,East
B,15.2725,73.4053,0.4819,26,1,15.4624,East
A,19.3074,25.2259,0.073,25,1,10.2406,East
C,8.0651,97.5274,0.898,38,0,15.8773,North
A,16.0524,55.6189,0.3953,10,1,13.0029,South
A,15.1179,14.8162,0.3238,16,0,14.1792,South
B,21.4182,48.415,0.474,34,0,13.8101,West
A,21.9183,39.4192,0.2059,14,0,16.7833,South
C,13.2777,23.9456,0.6736,47,0,14.6456,West
C,20.0836,63.0142,0.3408,32,1,18.4635,North
C,16.2443,35.5595,0.5971,30,0,11.9876,North
A,21.061,17.8687,0.3091,36,2,16.2304,South
A,18.1189,32.1868,0.4679,15,1,20.288,South
B,15.4219,77.6471,0.331,46,0,14.8064,North
B,16.2252,8.2109,0.5109,47,1,14.683,West
C,17.3808,12.2311,0.433,35,0,18.3119,North
A,18.8334,56.4212,0.1959,12,2,15.6914,North
B,16.5858,64.3205,0.5929,35,0,13.3615,South
A,18.9857,50.7352,0.1825,29,1,17.6222,South
A,21.5104,45.3412,0.6915,31,2,15.4071,East
A,17.5924,44.3086,0.481,1,1,15.2076,West
C,14.2797,69.9125,0.5795,39,0,12.8071,West
C,17.8254,24.823,0.4635,38,0,14.8671,West
B,13.1424,29.8154,0.2988,24,1,19.515,West
B,12.9563,39.3599,0.495,48,1,14.1155,South
C,19.2516,29.0013,0.9475,43,0,13.5407,South
A,18.1526,56.6068,0.2586,42,1,14.2254,South
